danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.738,0.79,5,-6.388,1,0.0489,0.0969,0.716,0.184,0.776,106.043,audio_features,03iozJCNT6sBJZLWNbGmPp,spotify:track:03iozJCNT6sBJZLWNbGmPp,https://api.spotify.com/v1/tracks/03iozJCNT6sBJZLWNbGmPp,https://api.spotify.com/v1/audio-analysis/03iozJCNT6sBJZLWNbGmPp,259733,4,6
0.703,0.751,8,-7.769,1,0.0434,0.13,0.532,0.0969,0.531,108.015,audio_features,0nDo3JLkY5SRpGPTIivkYL,spotify:track:0nDo3JLkY5SRpGPTIivkYL,https://api.spotify.com/v1/tracks/0nDo3JLkY5SRpGPTIivkYL,https://api.spotify.com/v1/audio-analysis/0nDo3JLkY5SRpGPTIivkYL,301733,4,6
0.453,0.722,0,-8.215,0,0.11,0.324,0.0341,0.0863,0.536,92.924,audio_features,6nSWAwFG6XBY1nrT5OF8GN,spotify:track:6nSWAwFG6XBY1nrT5OF8GN,https://api.spotify.com/v1/tracks/6nSWAwFG6XBY1nrT5OF8GN,https://api.spotify.com/v1/audio-analysis/6nSWAwFG6XBY1nrT5OF8GN,268000,4,2
0.698,0.753,5,-7.199,0,0.0324,0.242,0.68,0.105,0.658,100.036,audio_features,3A7ltXDaw2o8kdXttc9rXp,spotify:track:3A7ltXDaw2o8kdXttc9rXp,https://api.spotify.com/v1/tracks/3A7ltXDaw2o8kdXttc9rXp,https://api.spotify.com/v1/audio-analysis/3A7ltXDaw2o8kdXttc9rXp,240640,4,3
0.693,0.918,5,-5.987,0,0.0306,0.0691,0.416,0.145,0.937,109.997,audio_features,0ftd6HhG0TP4jue21olxho,spotify:track:0ftd6HhG0TP4jue21olxho,https://api.spotify.com/v1/tracks/0ftd6HhG0TP4jue21olxho,https://api.spotify.com/v1/audio-analysis/0ftd6HhG0TP4jue21olxho,272480,4,3
0.641,0.692,5,-8.894,1,0.0329,0.151,0.88,0.124,0.471,99.991,audio_features,1XggkknnMxiR3X3WJSD8ha,spotify:track:1XggkknnMxiR3X3WJSD8ha,https://api.spotify.com/v1/tracks/1XggkknnMxiR3X3WJSD8ha,https://api.spotify.com/v1/audio-analysis/1XggkknnMxiR3X3WJSD8ha,246024,4,2
0.663,0.789,5,-7.044,1,0.0403,0.304,0.84,0.0841,0.832,107.947,audio_features,0y6LrEmRVwUDanJyu9vgD6,spotify:track:0y6LrEmRVwUDanJyu9vgD6,https://api.spotify.com/v1/tracks/0y6LrEmRVwUDanJyu9vgD6,https://api.spotify.com/v1/audio-analysis/0y6LrEmRVwUDanJyu9vgD6,237837,4,6
0.715,0.589,7,-10.297,1,0.0358,0.636,0.876,0.0919,0.455,95.008,audio_features,1EDUekiBpMc07JV4971j75,spotify:track:1EDUekiBpMc07JV4971j75,https://api.spotify.com/v1/tracks/1EDUekiBpMc07JV4971j75,https://api.spotify.com/v1/audio-analysis/1EDUekiBpMc07JV4971j75,270013,4,2
0.681,0.664,3,-8.86,0,0.0442,0.0785,0.000143,0.182,0.749,84.034,audio_features,6MJdYeFwwV70PrNmClWtNw,spotify:track:6MJdYeFwwV70PrNmClWtNw,https://api.spotify.com/v1/tracks/6MJdYeFwwV70PrNmClWtNw,https://api.spotify.com/v1/audio-analysis/6MJdYeFwwV70PrNmClWtNw,264760,4,3
0.542,0.698,1,-6.733,1,0.0444,0.189,0.127,0.107,0.593,87.583,audio_features,5q6U22t1nrTwmSc93T8Al8,spotify:track:5q6U22t1nrTwmSc93T8Al8,https://api.spotify.com/v1/tracks/5q6U22t1nrTwmSc93T8Al8,https://api.spotify.com/v1/audio-analysis/5q6U22t1nrTwmSc93T8Al8,289357,4,0
0.71,0.757,2,-9.246,0,0.0324,0.0617,0.834,0.132,0.568,118.955,audio_features,6TsfJerJz88dgzO8YpOiAe,spotify:track:6TsfJerJz88dgzO8YpOiAe,https://api.spotify.com/v1/tracks/6TsfJerJz88dgzO8YpOiAe,https://api.spotify.com/v1/audio-analysis/6TsfJerJz88dgzO8YpOiAe,242965,4,3
0.695,0.408,10,-13.109,0,0.0535,0.202,0.0395,0.128,0.451,103.756,audio_features,1p3bQPaUzLAISJvj9I28QU,spotify:track:1p3bQPaUzLAISJvj9I28QU,https://api.spotify.com/v1/tracks/1p3bQPaUzLAISJvj9I28QU,https://api.spotify.com/v1/audio-analysis/1p3bQPaUzLAISJvj9I28QU,245000,4,3
0.665,0.74,4,-7.391,0,0.0299,0.455,0.738,0.0607,0.698,140.029,audio_features,7jaJlO6jLeR9q2xxQ6JSh5,spotify:track:7jaJlO6jLeR9q2xxQ6JSh5,https://api.spotify.com/v1/tracks/7jaJlO6jLeR9q2xxQ6JSh5,https://api.spotify.com/v1/audio-analysis/7jaJlO6jLeR9q2xxQ6JSh5,215707,4,3
0.679,0.667,5,-9.53,0,0.0313,0.729,0.827,0.0838,0.759,90.994,audio_features,3ypp1kYFl8Yr7cENirvtYx,spotify:track:3ypp1kYFl8Yr7cENirvtYx,https://api.spotify.com/v1/tracks/3ypp1kYFl8Yr7cENirvtYx,https://api.spotify.com/v1/audio-analysis/3ypp1kYFl8Yr7cENirvtYx,297750,4,2
0.756,0.655,1,-8.767,1,0.0639,0.474,0.701,0.0738,0.667,102.105,audio_features,2AylIOljOiVvWkZJoLvAQv,spotify:track:2AylIOljOiVvWkZJoLvAQv,https://api.spotify.com/v1/tracks/2AylIOljOiVvWkZJoLvAQv,https://api.spotify.com/v1/audio-analysis/2AylIOljOiVvWkZJoLvAQv,274776,4,0
0.646,0.753,0,-6.326,1,0.0341,0.496,0.526,0.189,0.685,92.799,audio_features,3Wxtwc8fYISyUwqIRONuzc,spotify:track:3Wxtwc8fYISyUwqIRONuzc,https://api.spotify.com/v1/tracks/3Wxtwc8fYISyUwqIRONuzc,https://api.spotify.com/v1/audio-analysis/3Wxtwc8fYISyUwqIRONuzc,216129,4,0
0.722,0.723,4,-9.572,0,0.0819,0.342,8.59e-05,0.208,0.624,115.02,audio_features,5lgUVDRMziX3zsuTy3sOqP,spotify:track:5lgUVDRMziX3zsuTy3sOqP,https://api.spotify.com/v1/tracks/5lgUVDRMziX3zsuTy3sOqP,https://api.spotify.com/v1/audio-analysis/5lgUVDRMziX3zsuTy3sOqP,243227,4,3
0.681,0.785,5,-6.204,1,0.0297,0.388,0.486,0.18,0.553,101.877,audio_features,0vu2xInL9RT1wy2Z8EaRc3,spotify:track:0vu2xInL9RT1wy2Z8EaRc3,https://api.spotify.com/v1/tracks/0vu2xInL9RT1wy2Z8EaRc3,https://api.spotify.com/v1/audio-analysis/0vu2xInL9RT1wy2Z8EaRc3,267703,4,6
0.647,0.911,11,-5.896,0,0.0742,0.001,0.802,0.0816,0.677,120.037,audio_features,4xSrDPbpky5aGxUgSWMaLs,spotify:track:4xSrDPbpky5aGxUgSWMaLs,https://api.spotify.com/v1/tracks/4xSrDPbpky5aGxUgSWMaLs,https://api.spotify.com/v1/audio-analysis/4xSrDPbpky5aGxUgSWMaLs,180373,4,3
0.764,0.361,10,-14.081,0,0.0336,0.646,0.792,0.117,0.796,110.028,audio_features,7Blm1tbR5Ix0cYLFLUwa2J,spotify:track:7Blm1tbR5Ix0cYLFLUwa2J,https://api.spotify.com/v1/tracks/7Blm1tbR5Ix0cYLFLUwa2J,https://api.spotify.com/v1/audio-analysis/7Blm1tbR5Ix0cYLFLUwa2J,267693,4,2
0.742,0.671,5,-7.405,1,0.0286,0.582,0.445,0.337,0.745,112.054,audio_features,1zZ0JFlkidMKUBsnwpR3Tb,spotify:track:1zZ0JFlkidMKUBsnwpR3Tb,https://api.spotify.com/v1/tracks/1zZ0JFlkidMKUBsnwpR3Tb,https://api.spotify.com/v1/audio-analysis/1zZ0JFlkidMKUBsnwpR3Tb,240640,4,6
0.69,0.71,10,-10.062,0,0.036,0.0818,0.886,0.0367,0.783,99.015,audio_features,5zJsAozshkEsQxjt5iNC5k,spotify:track:5zJsAozshkEsQxjt5iNC5k,https://api.spotify.com/v1/tracks/5zJsAozshkEsQxjt5iNC5k,https://api.spotify.com/v1/audio-analysis/5zJsAozshkEsQxjt5iNC5k,266717,4,3
0.661,0.612,2,-11.642,0,0.0476,0.483,0.683,0.27,0.78,87.977,audio_features,5xqn2aGGc9XZlv8fKsTOLr,spotify:track:5xqn2aGGc9XZlv8fKsTOLr,https://api.spotify.com/v1/tracks/5xqn2aGGc9XZlv8fKsTOLr,https://api.spotify.com/v1/audio-analysis/5xqn2aGGc9XZlv8fKsTOLr,274333,4,2
0.72,0.745,4,-7.566,0,0.0747,0.0776,0.0556,0.0966,0.571,106.07,audio_features,1qOELWcTj08cORvDvbl388,spotify:track:1qOELWcTj08cORvDvbl388,https://api.spotify.com/v1/tracks/1qOELWcTj08cORvDvbl388,https://api.spotify.com/v1/audio-analysis/1qOELWcTj08cORvDvbl388,277960,4,3
0.692,0.493,11,-10.225,1,0.0333,0.349,0.000718,0.312,0.448,87.98,audio_features,62OO9DqR3jNbWZEH09VGMB,spotify:track:62OO9DqR3jNbWZEH09VGMB,https://api.spotify.com/v1/tracks/62OO9DqR3jNbWZEH09VGMB,https://api.spotify.com/v1/audio-analysis/62OO9DqR3jNbWZEH09VGMB,288165,4,6
0.709,0.721,3,-6.911,0,0.0418,0.133,0.512,0.0627,0.788,87.007,audio_features,03bIwDyqm58zyBZIVXl3mh,spotify:track:03bIwDyqm58zyBZIVXl3mh,https://api.spotify.com/v1/tracks/03bIwDyqm58zyBZIVXl3mh,https://api.spotify.com/v1/audio-analysis/03bIwDyqm58zyBZIVXl3mh,222477,4,3
0.615,0.75,1,-7.727,1,0.0325,0.207,0.784,0.135,0.376,93.037,audio_features,0zozDCRaFzPEm9kocmSJzh,spotify:track:0zozDCRaFzPEm9kocmSJzh,https://api.spotify.com/v1/tracks/0zozDCRaFzPEm9kocmSJzh,https://api.spotify.com/v1/audio-analysis/0zozDCRaFzPEm9kocmSJzh,261206,4,2
0.641,0.648,9,-8.641,0,0.028,0.623,0.901,0.369,0.531,104.014,audio_features,3mfXhMDyUClHyovQsbbej2,spotify:track:3mfXhMDyUClHyovQsbbej2,https://api.spotify.com/v1/tracks/3mfXhMDyUClHyovQsbbej2,https://api.spotify.com/v1/audio-analysis/3mfXhMDyUClHyovQsbbej2,274520,4,2
0.757,0.713,4,-8.473,0,0.0389,0.0908,0.411,0.0347,0.667,110.015,audio_features,2RaedPl4Gq9BPrMmRhrhF6,spotify:track:2RaedPl4Gq9BPrMmRhrhF6,https://api.spotify.com/v1/tracks/2RaedPl4Gq9BPrMmRhrhF6,https://api.spotify.com/v1/audio-analysis/2RaedPl4Gq9BPrMmRhrhF6,234400,4,3
0.652,0.669,7,-7.979,0,0.107,0.415,2.01e-05,0.425,0.657,95.961,audio_features,7r9pekucIqhIv6shyzurti,spotify:track:7r9pekucIqhIv6shyzurti,https://api.spotify.com/v1/tracks/7r9pekucIqhIv6shyzurti,https://api.spotify.com/v1/audio-analysis/7r9pekucIqhIv6shyzurti,262960,4,3
0.693,0.649,0,-8.015,1,0.0336,0.0121,0.875,0.238,0.512,109.986,audio_features,6NYmvqAcpSi3YGjScwq1Rw,spotify:track:6NYmvqAcpSi3YGjScwq1Rw,https://api.spotify.com/v1/tracks/6NYmvqAcpSi3YGjScwq1Rw,https://api.spotify.com/v1/audio-analysis/6NYmvqAcpSi3YGjScwq1Rw,269168,4,0
0.618,0.708,5,-11.124,0,0.0301,0.622,0.874,0.149,0.785,100.002,audio_features,7yV52ZgvdYyV6WvRhqNwTX,spotify:track:7yV52ZgvdYyV6WvRhqNwTX,https://api.spotify.com/v1/tracks/7yV52ZgvdYyV6WvRhqNwTX,https://api.spotify.com/v1/audio-analysis/7yV52ZgvdYyV6WvRhqNwTX,269130,4,2
0.683,0.447,11,-6.612,0,0.0286,0.645,0.656,0.094,0.738,119.974,audio_features,7FGBhqDUCuByyvwEQm7TSE,spotify:track:7FGBhqDUCuByyvwEQm7TSE,https://api.spotify.com/v1/tracks/7FGBhqDUCuByyvwEQm7TSE,https://api.spotify.com/v1/audio-analysis/7FGBhqDUCuByyvwEQm7TSE,193965,3,2
0.665,0.757,4,-8.081,0,0.0559,0.122,0.408,0.0594,0.918,95.989,audio_features,46nz9mhjdUzjqlXo27ISd1,spotify:track:46nz9mhjdUzjqlXo27ISd1,https://api.spotify.com/v1/tracks/46nz9mhjdUzjqlXo27ISd1,https://api.spotify.com/v1/audio-analysis/46nz9mhjdUzjqlXo27ISd1,213000,4,3
0.729,0.703,9,-7.64,0,0.0309,0.212,0.317,0.297,0.855,112.004,audio_features,3KrBcmqCL3Equn5UC39pGv,spotify:track:3KrBcmqCL3Equn5UC39pGv,https://api.spotify.com/v1/tracks/3KrBcmqCL3Equn5UC39pGv,https://api.spotify.com/v1/audio-analysis/3KrBcmqCL3Equn5UC39pGv,220915,4,3
0.645,0.621,5,-10.158,1,0.0353,0.175,0.00429,0.352,0.594,106.032,audio_features,64D3rQrooPaTqQbsEpesW1,spotify:track:64D3rQrooPaTqQbsEpesW1,https://api.spotify.com/v1/tracks/64D3rQrooPaTqQbsEpesW1,https://api.spotify.com/v1/audio-analysis/64D3rQrooPaTqQbsEpesW1,246000,4,6
0.862,0.83,5,-5.158,0,0.0461,0.515,0.826,0.112,0.693,114.007,audio_features,0kUxknsCizotSJvigXGz78,spotify:track:0kUxknsCizotSJvigXGz78,https://api.spotify.com/v1/tracks/0kUxknsCizotSJvigXGz78,https://api.spotify.com/v1/audio-analysis/0kUxknsCizotSJvigXGz78,318732,4,3
0.669,0.812,0,-8.222,1,0.0239,0.0269,0.37,0.281,0.726,105.001,audio_features,7BBkoBQMqdsWALovgtqjd4,spotify:track:7BBkoBQMqdsWALovgtqjd4,https://api.spotify.com/v1/tracks/7BBkoBQMqdsWALovgtqjd4,https://api.spotify.com/v1/audio-analysis/7BBkoBQMqdsWALovgtqjd4,247440,4,0
0.541,0.689,8,-8.53,1,0.0242,0.665,0.0556,0.302,0.548,93.993,audio_features,4L89e9M8a3Ja2xDt2sSZ43,spotify:track:4L89e9M8a3Ja2xDt2sSZ43,https://api.spotify.com/v1/tracks/4L89e9M8a3Ja2xDt2sSZ43,https://api.spotify.com/v1/audio-analysis/4L89e9M8a3Ja2xDt2sSZ43,385547,4,6
0.613,0.891,5,-6.915,0,0.0307,0.245,0.543,0.0923,0.906,151.962,audio_features,099UwVih15FATiYBvuPWbo,spotify:track:099UwVih15FATiYBvuPWbo,https://api.spotify.com/v1/tracks/099UwVih15FATiYBvuPWbo,https://api.spotify.com/v1/audio-analysis/099UwVih15FATiYBvuPWbo,308340,4,3
0.708,0.849,0,-5.388,1,0.0297,0.0464,0.787,0.236,0.502,104.975,audio_features,7pgrGGQHZZbOVka1GXejKb,spotify:track:7pgrGGQHZZbOVka1GXejKb,https://api.spotify.com/v1/tracks/7pgrGGQHZZbOVka1GXejKb,https://api.spotify.com/v1/audio-analysis/7pgrGGQHZZbOVka1GXejKb,258286,4,0
0.647,0.513,0,-12.722,1,0.0323,0.00916,0.899,0.0712,0.508,92.158,audio_features,5Db5oB7ScEzWsmkr8nH5Pb,spotify:track:5Db5oB7ScEzWsmkr8nH5Pb,https://api.spotify.com/v1/tracks/5Db5oB7ScEzWsmkr8nH5Pb,https://api.spotify.com/v1/audio-analysis/5Db5oB7ScEzWsmkr8nH5Pb,231509,4,2
0.695,0.729,5,-6.977,1,0.0458,0.0592,0.814,0.319,0.27,97.003,audio_features,6qw5uDOwHyZAr6m9IjW4A2,spotify:track:6qw5uDOwHyZAr6m9IjW4A2,https://api.spotify.com/v1/tracks/6qw5uDOwHyZAr6m9IjW4A2,https://api.spotify.com/v1/audio-analysis/6qw5uDOwHyZAr6m9IjW4A2,258614,4,2
0.589,0.761,0,-10.692,1,0.0446,0.148,0.688,0.0623,0.943,159.983,audio_features,4HSTVvJeWSn2EPUQyfIl0d,spotify:track:4HSTVvJeWSn2EPUQyfIl0d,https://api.spotify.com/v1/tracks/4HSTVvJeWSn2EPUQyfIl0d,https://api.spotify.com/v1/audio-analysis/4HSTVvJeWSn2EPUQyfIl0d,301591,4,0
0.734,0.73,10,-7.373,0,0.0269,0.0462,0.836,0.0715,0.865,104.99,audio_features,39IrcbQPRPUzQfB9zea9fv,spotify:track:39IrcbQPRPUzQfB9zea9fv,https://api.spotify.com/v1/tracks/39IrcbQPRPUzQfB9zea9fv,https://api.spotify.com/v1/audio-analysis/39IrcbQPRPUzQfB9zea9fv,238857,4,3
0.551,0.647,8,-9.928,1,0.0656,0.236,0.302,0.323,0.361,75.032,audio_features,6SifyVtX5a35JoYXlh26Yy,spotify:track:6SifyVtX5a35JoYXlh26Yy,https://api.spotify.com/v1/tracks/6SifyVtX5a35JoYXlh26Yy,https://api.spotify.com/v1/audio-analysis/6SifyVtX5a35JoYXlh26Yy,322634,4,2
0.685,0.757,5,-8.276,0,0.0279,0.179,0.178,0.248,0.844,107.961,audio_features,4XSuFIR5EerE4JDdBJL8B8,spotify:track:4XSuFIR5EerE4JDdBJL8B8,https://api.spotify.com/v1/tracks/4XSuFIR5EerE4JDdBJL8B8,https://api.spotify.com/v1/audio-analysis/4XSuFIR5EerE4JDdBJL8B8,259261,4,3
0.643,0.684,0,-7.978,1,0.0228,0.0978,0.389,0.101,0.522,104.982,audio_features,0QYWdNQwvUk31QgSWrYR31,spotify:track:0QYWdNQwvUk31QgSWrYR31,https://api.spotify.com/v1/tracks/0QYWdNQwvUk31QgSWrYR31,https://api.spotify.com/v1/audio-analysis/0QYWdNQwvUk31QgSWrYR31,270265,4,0
0.724,0.51,10,-6.818,0,0.036,0.744,0.865,0.142,0.885,88.988,audio_features,00iIL41BaoKJS0tz1cr1Qt,spotify:track:00iIL41BaoKJS0tz1cr1Qt,https://api.spotify.com/v1/tracks/00iIL41BaoKJS0tz1cr1Qt,https://api.spotify.com/v1/audio-analysis/00iIL41BaoKJS0tz1cr1Qt,216867,4,2
0.755,0.633,7,-8.45,0,0.0313,0.00575,0.733,0.342,0.686,114.97,audio_features,476UCPxcdqr3CsRtMk6c4h,spotify:track:476UCPxcdqr3CsRtMk6c4h,https://api.spotify.com/v1/tracks/476UCPxcdqr3CsRtMk6c4h,https://api.spotify.com/v1/audio-analysis/476UCPxcdqr3CsRtMk6c4h,251833,4,3
0.666,0.736,10,-5.517,0,0.05,0.0493,2.5e-05,0.246,0.708,87.967,audio_features,1Zm9t6sNbqfHO11DWYviii,spotify:track:1Zm9t6sNbqfHO11DWYviii,https://api.spotify.com/v1/tracks/1Zm9t6sNbqfHO11DWYviii,https://api.spotify.com/v1/audio-analysis/1Zm9t6sNbqfHO11DWYviii,258736,4,3
0.752,0.668,10,-7.058,0,0.0461,0.113,0.0122,0.358,0.673,114.96,audio_features,7g4UqMFIKI0xsfB4louDRM,spotify:track:7g4UqMFIKI0xsfB4louDRM,https://api.spotify.com/v1/tracks/7g4UqMFIKI0xsfB4louDRM,https://api.spotify.com/v1/audio-analysis/7g4UqMFIKI0xsfB4louDRM,234493,4,3
0.606,0.691,0,-7.185,0,0.0265,0.0425,0.698,0.062,0.629,98.006,audio_features,3tzYgQTDUiJbJfbac2pvpH,spotify:track:3tzYgQTDUiJbJfbac2pvpH,https://api.spotify.com/v1/tracks/3tzYgQTDUiJbJfbac2pvpH,https://api.spotify.com/v1/audio-analysis/3tzYgQTDUiJbJfbac2pvpH,326253,4,2
0.649,0.476,7,-6.706,0,0.0303,0.282,0.0309,0.12,0.506,133.967,audio_features,1f8YvLcdFa62yFlKoKVUca,spotify:track:1f8YvLcdFa62yFlKoKVUca,https://api.spotify.com/v1/tracks/1f8YvLcdFa62yFlKoKVUca,https://api.spotify.com/v1/audio-analysis/1f8YvLcdFa62yFlKoKVUca,264400,4,3
0.641,0.399,5,-11.762,0,0.0308,0.779,0.84,0.124,0.654,85.051,audio_features,4OUF2Ig03QYHGTwjBJLQXI,spotify:track:4OUF2Ig03QYHGTwjBJLQXI,https://api.spotify.com/v1/tracks/4OUF2Ig03QYHGTwjBJLQXI,https://api.spotify.com/v1/audio-analysis/4OUF2Ig03QYHGTwjBJLQXI,223227,4,2
0.757,0.917,8,-7.314,1,0.0404,0.102,0.92,0.063,0.858,119.979,audio_features,5zSeLA2wSaq5W0IKeB29wC,spotify:track:5zSeLA2wSaq5W0IKeB29wC,https://api.spotify.com/v1/tracks/5zSeLA2wSaq5W0IKeB29wC,https://api.spotify.com/v1/audio-analysis/5zSeLA2wSaq5W0IKeB29wC,204000,4,6
0.653,0.67,1,-11.203,1,0.0342,0.802,0.866,0.14,0.706,105.0,audio_features,5foSZQITlXeIT6MeeXPvOJ,spotify:track:5foSZQITlXeIT6MeeXPvOJ,https://api.spotify.com/v1/tracks/5foSZQITlXeIT6MeeXPvOJ,https://api.spotify.com/v1/audio-analysis/5foSZQITlXeIT6MeeXPvOJ,246375,4,2
0.725,0.627,7,-9.496,0,0.034,0.0373,0.721,0.0879,0.453,117.967,audio_features,6DLFxJGiRO3gYE3buwMLHQ,spotify:track:6DLFxJGiRO3gYE3buwMLHQ,https://api.spotify.com/v1/tracks/6DLFxJGiRO3gYE3buwMLHQ,https://api.spotify.com/v1/audio-analysis/6DLFxJGiRO3gYE3buwMLHQ,261563,4,3
0.761,0.614,4,-7.81,1,0.0316,0.39,0.307,0.392,0.873,98.014,audio_features,3DASd0hb7wnkN4L3HnblcM,spotify:track:3DASd0hb7wnkN4L3HnblcM,https://api.spotify.com/v1/tracks/3DASd0hb7wnkN4L3HnblcM,https://api.spotify.com/v1/audio-analysis/3DASd0hb7wnkN4L3HnblcM,232147,4,0
0.652,0.726,4,-8.484,0,0.04,0.0296,0.0694,0.0613,0.843,98.054,audio_features,3Xprt3ZIJH35zSbDWiSuCP,spotify:track:3Xprt3ZIJH35zSbDWiSuCP,https://api.spotify.com/v1/tracks/3Xprt3ZIJH35zSbDWiSuCP,https://api.spotify.com/v1/audio-analysis/3Xprt3ZIJH35zSbDWiSuCP,213773,4,3
0.518,0.499,4,-13.002,0,0.046,0.135,0.0124,0.795,0.333,90.851,audio_features,3GmNtxy769vhYT18PTWNf8,spotify:track:3GmNtxy769vhYT18PTWNf8,https://api.spotify.com/v1/tracks/3GmNtxy769vhYT18PTWNf8,https://api.spotify.com/v1/audio-analysis/3GmNtxy769vhYT18PTWNf8,219193,4,7
0.648,0.701,0,-6.123,1,0.0457,0.582,0.4,0.223,0.726,100.03,audio_features,56CFGg7t8R5caVMuuqBESb,spotify:track:56CFGg7t8R5caVMuuqBESb,https://api.spotify.com/v1/tracks/56CFGg7t8R5caVMuuqBESb,https://api.spotify.com/v1/audio-analysis/56CFGg7t8R5caVMuuqBESb,208347,4,0
0.644,0.822,5,-7.64,0,0.0273,0.0107,0.0359,0.241,0.712,110.017,audio_features,4MbGIZDOvlmp3vbdCgqaKC,spotify:track:4MbGIZDOvlmp3vbdCgqaKC,https://api.spotify.com/v1/tracks/4MbGIZDOvlmp3vbdCgqaKC,https://api.spotify.com/v1/audio-analysis/4MbGIZDOvlmp3vbdCgqaKC,246422,4,3
0.631,0.827,5,-7.401,1,0.0304,0.00426,0.843,0.0587,0.68,99.011,audio_features,6YfymsOqXFmM2jkgEgypRc,spotify:track:6YfymsOqXFmM2jkgEgypRc,https://api.spotify.com/v1/tracks/6YfymsOqXFmM2jkgEgypRc,https://api.spotify.com/v1/audio-analysis/6YfymsOqXFmM2jkgEgypRc,264619,4,6
0.677,0.715,8,-7.838,1,0.0392,0.139,3.83e-06,0.293,0.586,121.04,audio_features,685ixcdecnXfddToZlDvqS,spotify:track:685ixcdecnXfddToZlDvqS,https://api.spotify.com/v1/tracks/685ixcdecnXfddToZlDvqS,https://api.spotify.com/v1/audio-analysis/685ixcdecnXfddToZlDvqS,246000,4,6
0.626,0.64,4,-9.676,1,0.0284,0.591,0.84,0.335,0.413,115.036,audio_features,5niv5mccEoLM2y3050Golm,spotify:track:5niv5mccEoLM2y3050Golm,https://api.spotify.com/v1/tracks/5niv5mccEoLM2y3050Golm,https://api.spotify.com/v1/audio-analysis/5niv5mccEoLM2y3050Golm,200827,3,2
0.449,0.794,0,-7.749,0,0.0361,0.0256,0.576,0.334,0.483,109.519,audio_features,1yp30xxaAcfCaPbIVq0de0,spotify:track:1yp30xxaAcfCaPbIVq0de0,https://api.spotify.com/v1/tracks/1yp30xxaAcfCaPbIVq0de0,https://api.spotify.com/v1/audio-analysis/1yp30xxaAcfCaPbIVq0de0,254641,4,2
0.838,0.697,5,-6.066,1,0.0508,0.379,0.529,0.294,0.708,105.943,audio_features,49JHgAHUgnje6YGX74ZGQ9,spotify:track:49JHgAHUgnje6YGX74ZGQ9,https://api.spotify.com/v1/tracks/49JHgAHUgnje6YGX74ZGQ9,https://api.spotify.com/v1/audio-analysis/49JHgAHUgnje6YGX74ZGQ9,263413,4,6
0.635,0.549,0,-7.107,1,0.0351,0.217,0.334,0.137,0.336,167.898,audio_features,69hQh8DZErtOe1MLb3upCH,spotify:track:69hQh8DZErtOe1MLb3upCH,https://api.spotify.com/v1/tracks/69hQh8DZErtOe1MLb3upCH,https://api.spotify.com/v1/audio-analysis/69hQh8DZErtOe1MLb3upCH,256347,4,5
0.655,0.676,7,-8.199,0,0.0343,0.0284,0.88,0.382,0.631,87.991,audio_features,5Ef2TtuVOkvz69HELDNaVM,spotify:track:5Ef2TtuVOkvz69HELDNaVM,https://api.spotify.com/v1/tracks/5Ef2TtuVOkvz69HELDNaVM,https://api.spotify.com/v1/audio-analysis/5Ef2TtuVOkvz69HELDNaVM,261190,4,3
0.337,0.27,5,-11.597,1,0.0337,0.908,0.22,0.0655,0.148,79.021,audio_features,4zkK65VUrSnvFVEy0ht3N2,spotify:track:4zkK65VUrSnvFVEy0ht3N2,https://api.spotify.com/v1/tracks/4zkK65VUrSnvFVEy0ht3N2,https://api.spotify.com/v1/audio-analysis/4zkK65VUrSnvFVEy0ht3N2,236707,4,2
0.583,0.739,7,-7.425,1,0.0695,0.151,0.00574,0.18,0.679,94.93,audio_features,4Tq4ZmCKsOZnxBRVf6VBz6,spotify:track:4Tq4ZmCKsOZnxBRVf6VBz6,https://api.spotify.com/v1/tracks/4Tq4ZmCKsOZnxBRVf6VBz6,https://api.spotify.com/v1/audio-analysis/4Tq4ZmCKsOZnxBRVf6VBz6,240360,4,6
0.653,0.755,9,-10.039,0,0.0336,0.114,0.946,0.103,0.856,100.076,audio_features,5V8qjHTOrvyRxJg9B1u0Fa,spotify:track:5V8qjHTOrvyRxJg9B1u0Fa,https://api.spotify.com/v1/tracks/5V8qjHTOrvyRxJg9B1u0Fa,https://api.spotify.com/v1/audio-analysis/5V8qjHTOrvyRxJg9B1u0Fa,206365,4,3
0.731,0.629,5,-8.959,0,0.0294,0.375,0.827,0.0872,0.644,95.976,audio_features,3AFEIfMWHsjjv89DhFmS8G,spotify:track:3AFEIfMWHsjjv89DhFmS8G,https://api.spotify.com/v1/tracks/3AFEIfMWHsjjv89DhFmS8G,https://api.spotify.com/v1/audio-analysis/3AFEIfMWHsjjv89DhFmS8G,287640,4,2
0.804,0.652,4,-9.445,0,0.0285,0.677,0.69,0.183,0.762,109.997,audio_features,3IILzRycr3DdmvyMroOWp9,spotify:track:3IILzRycr3DdmvyMroOWp9,https://api.spotify.com/v1/tracks/3IILzRycr3DdmvyMroOWp9,https://api.spotify.com/v1/audio-analysis/3IILzRycr3DdmvyMroOWp9,291080,4,2
